input	score	concept_id	concept_name	concept_type
Neural Tube Defects (NTDs)	793	C1861101	DEFECT (THYROID HORMONE PLASMA MEMBRANE TRANSPORT DEFECT)	Disease or Syndrome
Neural Tube Defects - Spina Bifida and Anencephaly	566	C0151747	TUBULAR (Renal tubular disorder)	Disease or Syndrome
Neural Tube Defects - Spina Bifida and Anencephaly	545	C0027769	nervy (Nervousness)	Sign or Symptom
Neural Tube Defects - Spina Bifida and Anencephaly	604	C1861101	DEFECT (THYROID HORMONE PLASMA MEMBRANE TRANSPORT DEFECT)	Disease or Syndrome
Neural Tumors	983	C1334956	Neural Tumor (Neuroepithelial, Perineurial, and Schwann Cell Neoplasm)	Neoplastic Process
Neural Tumors	861	C0027651	Tumors (Neoplasms)	Neoplastic Process
Neural Tumors	601	C0027769	nervy (Nervousness)	Sign or Symptom
Neuralgia	1000	C0027796	Neuralgia	Sign or Symptom
Neuralgia, Diabetic	1000	C0027796	Neuralgia	Sign or Symptom
Neuralgia, Postherpetic	1000	C0027796	Neuralgia	Sign or Symptom
Neuralgia,Postherpetic	1000	C0027796	Neuralgia	Sign or Symptom
Neuralgic Facial Pain	901	C0015468	Facial Pain	Sign or Symptom
Neuralgic Facial Pain	1000	C0751135	Neuralgic Facial Pain	Sign or Symptom
Neuralgic Facial Pain	589	C0027796	Neuralgia	Sign or Symptom
Neuralgic Facial Pain	827	C0030193	Pain	Sign or Symptom
Neuritis	1000	C0027813	Neuritis	Disease or Syndrome
Neuroaspergillosis	1000	C0752342	Neuroaspergillosis	Disease or Syndrome
Neurobehavioral Manifestation	1000	C0525041	Neurobehavioral Manifestation (Neurobehavioral Manifestations)	Sign or Symptom
Neurobehavioral Manifestations	1000	C0525041	Neurobehavioral Manifestations	Sign or Symptom
Neurobehavioural Manifestation	1000	C0525041	Neurobehavioral Manifestation (Neurobehavioral Manifestations)	Sign or Symptom
Neuroblastoma	1000	C0027819	Neuroblastoma	Neoplastic Process
Neuroblastoma	1000	C0700095	neuroblastoma (Central neuroblastoma)	Neoplastic Process
Neuroblastoma (Measurable Disease)	1000	C1513041	Measurable Disease	Disease or Syndrome
Neuroblastoma (Measurable Disease)	861	C0012634	Disease	Disease or Syndrome
Neuroblastoma (Measurable Disease)	1000	C0027819	Neuroblastoma	Neoplastic Process
Neuroblastoma (Measurable Disease)	1000	C0700095	neuroblastoma (Central neuroblastoma)	Neoplastic Process
Neuroblastoma (Metaiodobenzylguanidine	1000	C0027819	Neuroblastoma	Neoplastic Process
Neuroblastoma (Metaiodobenzylguanidine	1000	C0700095	neuroblastoma (Central neuroblastoma)	Neoplastic Process
Neuroblastoma,	1000	C0027819	Neuroblastoma	Neoplastic Process
Neuroblastoma,	1000	C0700095	neuroblastoma (Central neuroblastoma)	Neoplastic Process
Neuroblastomas	966	C0700095	neuroblastoma (Central neuroblastoma)	Neoplastic Process
Neuroblastomas	1000	C0027819	Neuroblastomas (Neuroblastoma)	Neoplastic Process
Neurocardiogenic Syncope	861	C0039070	Syncope	Sign or Symptom
Neurocardiogenic Syncope	1000	C0042420	Syncope, Neurocardiogenic (Vasovagal syncope)	Disease or Syndrome
Neurocysticercosis	1000	C0338437	Neurocysticercosis	Disease or Syndrome
Neurodegenerative Disease	861	C0012634	Disease	Disease or Syndrome
Neurodegenerative Disease	1000	C0524851	Neurodegenerative Disease (Neurodegenerative Disorders)	Disease or Syndrome
Neurodegenerative Diseases	1000	C0524851	Neurodegenerative Diseases (Neurodegenerative Disorders)	Disease or Syndrome
Neurodegenerative Diseases	861	C0012634	Diseases (Disease)	Disease or Syndrome
Neurodegenerative Disorders	1000	C0524851	Neurodegenerative Disorders	Disease or Syndrome
Neurodegenerative Disorders	861	C0012634	Disorders (Disease)	Disease or Syndrome
Neurodermatitis	1000	C0027822	Neurodermatitis	Disease or Syndrome
Neurodevelopmental Disorder	861	C0012634	Disorder (Disease)	Disease or Syndrome
Neurodevelopmental Disorders	861	C0012634	Disorders (Disease)	Disease or Syndrome
Neurodynia	1000	C0027796	Neurodynia (Neuralgia)	Sign or Symptom
Neuroectodermal Tumor	861	C0027651	Tumor (Neoplasms)	Neoplastic Process
Neuroectodermal Tumor	1000	C0206093	Neuroectodermal tumor (Neuroectodermal Tumors)	Neoplastic Process
Neuroectodermal Tumor, Primitive	861	C0027651	Tumor (Neoplasms)	Neoplastic Process
Neuroectodermal Tumor, Primitive	1000	C0206093	Neuroectodermal tumor (Neuroectodermal Tumors)	Neoplastic Process
Neuroectodermal Tumors	861	C0027651	Tumors (Neoplasms)	Neoplastic Process
Neuroectodermal Tumors	1000	C0206093	Neuroectodermal Tumors	Neoplastic Process
Neuroectodermal Tumors, Primitive	861	C0027651	Tumors (Neoplasms)	Neoplastic Process
Neuroectodermal Tumors, Primitive	1000	C0206093	Neuroectodermal Tumors	Neoplastic Process
Neuroectodermal Tumors, Primitive, Peripheral	861	C0027651	Tumors (Neoplasms)	Neoplastic Process
Neuroectodermal Tumors, Primitive, Peripheral	1000	C0206093	Neuroectodermal Tumors	Neoplastic Process
Neuroendocrine Cancer	861	C0006826	Cancer (Malignant Neoplasms)	Neoplastic Process
Neuroendocrine Carcinoma	1000	C0206695	Carcinoma, Neuroendocrine	Neoplastic Process
Neuroendocrine Carcinoma	861	C0007097	Carcinoma	Neoplastic Process
Neuroendocrine Carcinoma	761	C0858970	carcinogenicity	Neoplastic Process
Neuroendocrine Carcinoma (Carcinoid)	1000	C0206695	Carcinoma, Neuroendocrine	Neoplastic Process
Neuroendocrine Carcinoma (Carcinoid)	861	C0007097	Carcinoma	Neoplastic Process
Neuroendocrine Carcinoma (Carcinoid)	761	C0858970	carcinogenicity	Neoplastic Process
Neuroendocrine Carcinoma (Carcinoid)	1000	C0007095	Carcinoid (Carcinoid Tumor)	Neoplastic Process
Neuroendocrine Carcinoma of the Skin	1000	C0206695	Carcinoma, Neuroendocrine	Neoplastic Process
Neuroendocrine Carcinoma of the Skin	861	C0007097	Carcinoma	Neoplastic Process
Neuroendocrine Carcinoma of the Skin	761	C0858970	carcinogenicity	Neoplastic Process
Neuroendocrine Carcinomas	1000	C0206695	Neuroendocrine Carcinomas (Carcinoma, Neuroendocrine)	Neoplastic Process
Neuroendocrine Carcinomas	755	C0858970	carcinogenicity	Neoplastic Process
Neuroendocrine Carcinomas	861	C0007097	Carcinomas (Carcinoma)	Neoplastic Process
Neuroendocrine Neoplasms	983	C0206754	Neuroendocrine neoplasm (Neuroendocrine Tumors)	Neoplastic Process
Neuroendocrine Neoplasms	861	C0027651	NEOPLASMS, NOS (Neoplasms)	Neoplastic Process
Neuroendocrine Tumor	861	C0027651	Tumor (Neoplasms)	Neoplastic Process
Neuroendocrine Tumor	1000	C0206754	Neuroendocrine tumor (Neuroendocrine Tumors)	Neoplastic Process
Neuroendocrine Tumors	861	C0027651	Tumors (Neoplasms)	Neoplastic Process
Neuroendocrine Tumors	1000	C0206754	Neuroendocrine Tumors	Neoplastic Process
Neuroendocrine Tumors of Non-Pancreatic Origin	861	C0027651	Tumors (Neoplasms)	Neoplastic Process
Neuroendocrine Tumors of Non-Pancreatic Origin	1000	C0206754	Neuroendocrine Tumors	Neoplastic Process
Neuroendocrine Tumour (NET) With Carcinoid Syndrome	861	C0027651	Tumor (Neoplasms)	Neoplastic Process
Neuroendocrine Tumour (NET) With Carcinoid Syndrome	1000	C0024586	Carcinoid syndrome (Malignant Carcinoid Syndrome)	Disease or Syndrome
Neuroendocrine Tumour (NET) With Carcinoid Syndrome	861	C0039082	Syndrome	Disease or Syndrome
Neuroendocrine Tumour (NET) With Carcinoid Syndrome	861	C0007095	Carcinoid (Carcinoid Tumor)	Neoplastic Process
Neuroendocrine Tumour (NET) With Carcinoid Syndrome	1000	C0206754	Neuroendocrine tumor (Neuroendocrine Tumors)	Neoplastic Process
Neuroendocrine Tumour With Carcinoid Symptoms	861	C0027651	Tumor (Neoplasms)	Neoplastic Process
Neuroendocrine Tumour With Carcinoid Symptoms	694	C0007095	Carcinoid (Carcinoid Tumor)	Neoplastic Process
Neuroendocrine Tumour With Carcinoid Symptoms	861	C1457887	Symptoms	Sign or Symptom
Neuroendocrine Tumour With Carcinoid Symptoms	1000	C0206754	Neuroendocrine tumor (Neuroendocrine Tumors)	Neoplastic Process
Neuroendocrine Tumours	861	C0027651	Tumors (Neoplasms)	Neoplastic Process
Neuroendocrine Tumours	1000	C0206754	Neuroendocrine Tumors	Neoplastic Process
Neuroepithelioma	1000	C0027828	Neuroepithelioma	Neoplastic Process
Neuroepithelioma	1000	C0206093	Neuroepithelioma (Neuroectodermal Tumors)	Neoplastic Process
Neurofibroma	1000	C0027830	neurofibroma	Neoplastic Process
Neurofibroma, Plexiform	1000	C0027830	neurofibroma	Neoplastic Process
Neurofibromas	1000	C0027830	[M]Neurofibromas (neurofibroma)	Neoplastic Process
Neurofibromatoses	1000	C0162678	Neurofibromatoses	Neoplastic Process
Neurofibromatosis	1000	C0162678	Neurofibromatosis (Neurofibromatoses)	Neoplastic Process
Neurofibromatosis 1	1000	C0027831	Neurofibromatosis 1	Neoplastic Process
Neurofibromatosis 1	861	C0162678	Neurofibromatosis (Neurofibromatoses)	Neoplastic Process
Neurofibromatosis 2	1000	C0027832	Neurofibromatosis 2	Neoplastic Process
Neurofibromatosis 2	861	C0162678	Neurofibromatosis (Neurofibromatoses)	Neoplastic Process
Neurofibromatosis Type 1	827	C0162678	Neurofibromatosis (Neurofibromatoses)	Neoplastic Process
Neurofibromatosis Type 1	1000	C0027831	Neurofibromatosis Type 1 (Neurofibromatosis 1)	Neoplastic Process
Neurofibromatosis Type 2	1000	C0027832	Neurofibromatosis Type 2 (Neurofibromatosis 2)	Neoplastic Process
Neurofibromatosis Type 2	827	C0162678	Neurofibromatosis (Neurofibromatoses)	Neoplastic Process
Neurofibromatosis Type I	827	C0162678	Neurofibromatosis (Neurofibromatoses)	Neoplastic Process
Neurofibromatosis Type I	1000	C0027831	Neurofibromatosis Type 1 (Neurofibromatosis 1)	Neoplastic Process
Neurogenic Bladder	1000	C0005697	Neurogenic Bladder (Neurogenic Urinary Bladder)	Disease or Syndrome
Neurogenic Bladder Disorder	827	C0012634	Disorder (Disease)	Disease or Syndrome
Neurogenic Bladder Disorder	901	C0005686	Bladder Disorder (Urinary Bladder Diseases)	Disease or Syndrome
Neurogenic Bladder Disorder	1000	C0005697	Bladder Disorder, Neurogenic (Neurogenic Urinary Bladder)	Disease or Syndrome
Neurogenic Bladder Dysfunction Nos	1000	C2902981	Neurogenic bladder dysfunction NOS	Disease or Syndrome
Neurogenic Bladder Dysfunction Nos	694	C0005697	Neurogenic Bladder (Neurogenic Urinary Bladder)	Disease or Syndrome
Neurogenic Intermittent Claudication	827	C1456822	Claudication (Claudication (finding))	Disease or Syndrome
Neurogenic Intermittent Claudication	901	C0021775	Intermittent Claudication	Disease or Syndrome
Neurogenic Orthostatic Hypotension	755	C0149746	Orthostasis	Sign or Symptom
Neurogenic Overactive Bladder	901	C0878773	Overactive Bladder	Disease or Syndrome
Neurogenic Overactive Bladder	913	C0005697	Neurogenic Bladder (Neurogenic Urinary Bladder)	Disease or Syndrome
Neurogenic Urinary Bladder	1000	C0005697	Neurogenic Urinary Bladder	Disease or Syndrome
Neuroleptic Malignant Syndrome	827	C0039082	Syndrome	Disease or Syndrome
Neuroleptic Malignant Syndrome	1000	C0027849	Neuroleptic Malignant Syndrome	Disease or Syndrome
Neuroleptic Malignant Syndrome	901	C0948281	malignant syndrome (malignant syndrome nos)	Disease or Syndrome
Neuroleptic-Induced Tardive Dyskinesia	861	C0686347	Tardive Dyskinesia	Disease or Syndrome
Neuroleptic-Induced Tardive Dyskinesia	812	C0013384	Dyscinesia (Dyskinetic syndrome)	Disease or Syndrome
Neuroleptic-Induced Tardive Dyskinesia	861	C0152115	Tardive Dyskinesia (Lingual-Facial-Buccal Dyskinesia)	Disease or Syndrome
Neuroleptic-Induced Tardive Dyskinesia	1000	C0543891	Neuroleptic-Induced Tardive Dyskinesia	Disease or Syndrome
Neuroleptic-Induced Tremor	827	C0040822	Tremor	Sign or Symptom
Neurologic Ambulation Disorder	827	C0012634	Disorder (Disease)	Disease or Syndrome
Neurologic Ambulation Disorder	896	C0027765	Neurologic Disorders (nervous system disorder)	Disease or Syndrome
Neurologic Ambulation Disorder	1000	C0751830	Neurologic Ambulation Disorder (Gait Disorders, Neurologic)	Disease or Syndrome
Neurologic Deficiency	861	C0162429	Deficiency (Malnutrition)	Disease or Syndrome
Neurologic Diseases, General	972	C0027765	Nervous System Diseases (nervous system disorder)	Disease or Syndrome
Neurologic Diseases, General	861	C0012634	Diseases (Disease)	Disease or Syndrome
Neurologic Diseases, General	1000	C1456669	Neurologic Diseases	Disease or Syndrome
Neurologic Disorder	983	C0027765	Neurologic Disorders (nervous system disorder)	Disease or Syndrome
Neurologic Disorder	861	C0012634	Disorder (Disease)	Disease or Syndrome
Neurologic Disorders	1000	C0027765	Neurologic Disorders (nervous system disorder)	Disease or Syndrome
Neurologic Disorders	861	C0012634	Disorders (Disease)	Disease or Syndrome
Neurological and Mental Health Conditions	966	C0012634	condition (Disease)	Disease or Syndrome
Neurological Autoimmune Disease	901	C0004364	Autoimmune disease (Autoimmune Diseases)	Disease or Syndrome
Neurological Autoimmune Disease	827	C0012634	Disease	Disease or Syndrome
Neurological Autoimmune Disease	913	C0027765	neurological disease (nervous system disorder)	Disease or Syndrome
Neurological Conditions	827	C0012634	condition (Disease)	Disease or Syndrome
Neurological Disease	861	C0012634	Disease	Disease or Syndrome
Neurological Disease	1000	C0027765	neurological disease (nervous system disorder)	Disease or Syndrome
Neurological Diseases	983	C0027765	neurological disease (nervous system disorder)	Disease or Syndrome
Neurological Diseases	861	C0012634	Diseases (Disease)	Disease or Syndrome
Neurological Diseases, Heart or Respiratory Failure,	983	C0027765	neurological disease (nervous system disorder)	Disease or Syndrome
Neurological Diseases, Heart or Respiratory Failure,	1000	C1145670	Respiratory Failure	Disease or Syndrome
Neurological Diseases, Heart or Respiratory Failure,	861	C0012634	Diseases (Disease)	Disease or Syndrome
Neurological Disorders	1000	C0027765	Neurological Disorders (nervous system disorder)	Disease or Syndrome
Neurological Disorders	861	C0012634	Disorders (Disease)	Disease or Syndrome
Neuroma	1000	C0027858	Neuroma	Neoplastic Process
Neuroma Amputation	1000	C0392617	neuroma amputation (Neuroma of amputation stump)	Disease or Syndrome
Neuroma Amputation	694	C0027858	Neuroma	Neoplastic Process
Neuroma, Acoustic	1000	C0027858	Neuroma	Neoplastic Process
Neuromuscular Block	1000	C0234119	NEUROMUSCULAR BLOCK (Neuromuscular inhibition)	Disease or Syndrome
Neuromuscular Block	1000	C0700323	Neuromuscular block (Observation of Neuromuscular Block)	Disease or Syndrome
Neuromuscular Blockade	1000	C0700323	Neuromuscular blockade (Observation of Neuromuscular Block)	Disease or Syndrome
Neuromuscular Blocking Agents	884	C0234119	NEUROMUSCULAR BLOCK (Neuromuscular inhibition)	Disease or Syndrome
Neuromuscular Blocking Agents	884	C0700323	Neuromuscular block (Observation of Neuromuscular Block)	Disease or Syndrome
Neuromuscular Deficits	827	C0162429	Deficit, NOS (Malnutrition)	Disease or Syndrome
Neuromuscular Disease	861	C0012634	Disease	Disease or Syndrome
Neuromuscular Disease	1000	C0027868	Neuromuscular disease, NOS (Neuromuscular Diseases)	Disease or Syndrome
Neuromuscular Diseases	1000	C0027868	Neuromuscular Diseases	Disease or Syndrome
Neuromuscular Diseases	861	C0012634	Diseases (Disease)	Disease or Syndrome
Neuromuscular Disorders	861	C0012634	Disorders (Disease)	Disease or Syndrome
Neuromuscular Disorders	1000	C0027868	Neuromuscular Disorders (Neuromuscular Diseases)	Disease or Syndrome
Neuromuscular Inhibition	1000	C0700323	Neuromuscular inhibition, NOS (Observation of Neuromuscular Block)	Disease or Syndrome
Neuromuscular Inhibition	1000	C0234119	Neuromuscular inhibition	Disease or Syndrome
Neuromuscular Monitoring After Administration of Neuromuscular Blocking Agents in Different Types of Surgery	884	C0234119	NEUROMUSCULAR BLOCK (Neuromuscular inhibition)	Disease or Syndrome
Neuromuscular Monitoring After Administration of Neuromuscular Blocking Agents in Different Types of Surgery	884	C0700323	Neuromuscular block (Observation of Neuromuscular Block)	Disease or Syndrome
Neuromyelitis Optica	1000	C0027873	Neuromyelitis Optica	Disease or Syndrome
Neuromyelitis Optica (NMO)	1000	C0027873	Neuromyelitis Optica	Disease or Syndrome
Neuronal Ceroid Lipofuscinosis	827	C0268279	Lipofuscinosis	Disease or Syndrome
Neuronal Ceroid Lipofuscinosis	1000	C0027877	Ceroid-Lipofuscinosis, Neuronal (Neuronal Ceroid-Lipofuscinoses)	Disease or Syndrome
Neuronal Migration Disorders	1000	C1837249	Neuronal Migration Disorders	Disease or Syndrome
Neuronal Migration Disorders	827	C0012634	Disorders (Disease)	Disease or Syndrome
Neuropathic Foot	623	C0442874	Neuropathy	Disease or Syndrome
Neuropathic Foot Ulceration in Individuals With Diabetes	1000	C0011847	Diabetes	Disease or Syndrome
Neuropathic Foot Ulceration in Individuals With Diabetes	1000	C0011849	Diabetes (Diabetes Mellitus)	Disease or Syndrome
Neuropathic Foot Ulceration in Individuals With Diabetes	589	C0442874	Neuropathy	Disease or Syndrome
Neuropathic Limb	623	C0442874	Neuropathy	Disease or Syndrome
Neuropathic Pain	861	C0030193	Pain	Sign or Symptom
Neuropathic Pain	1000	C0027796	Neuropathic Pain (Neuralgia)	Sign or Symptom
Neuropathic Pain	789	C0442874	Neuropathy	Disease or Syndrome
Neuropathic Pain From Spinal Cord Injury	861	C0030193	Pain	Sign or Symptom
Neuropathic Pain From Spinal Cord Injury	1000	C0027796	Neuropathic Pain (Neuralgia)	Sign or Symptom
Neuropathic Pain From Spinal Cord Injury	789	C0442874	Neuropathy	Disease or Syndrome
Neuropathic Pain Rebel	660	C0030193	Pain	Sign or Symptom
Neuropathic Pain Rebel	734	C0027796	Neuropathic Pain (Neuralgia)	Sign or Symptom
Neuropathic Pain Rebel	589	C0442874	Neuropathy	Disease or Syndrome
Neuropathic Pain Secondary to Radiation Therapy	1000	C0027627	secondary (Neoplasm Metastasis)	Neoplastic Process
Neuropathic Pain Secondary to Radiation Therapy	861	C0030193	Pain	Sign or Symptom
Neuropathic Pain Secondary to Radiation Therapy	1000	C0027796	Neuropathic Pain (Neuralgia)	Sign or Symptom
Neuropathic Pain Secondary to Radiation Therapy	789	C0442874	Neuropathy	Disease or Syndrome
Neuropathic Pain Secondary to Radiation Therapy	966	C2939419	Secondaries (Secondary Neoplasm)	Neoplastic Process
Neuropathic Pain.	861	C0030193	Pain	Sign or Symptom
Neuropathic Pain.	1000	C0027796	Neuropathic Pain (Neuralgia)	Sign or Symptom
Neuropathic Pain.	789	C0442874	Neuropathy	Disease or Syndrome
Neuropathic Pains	861	C0030193	pains (Pain)	Sign or Symptom
Neuropathic Pains	1000	C0027796	Pains, Neuropathic (Neuralgia)	Sign or Symptom
Neuropathic Pains	789	C0442874	Neuropathy	Disease or Syndrome
Neuropathic Peripheral Pain	913	C0027796	Neuropathic Pain (Neuralgia)	Sign or Symptom
Neuropathic Peripheral Pain	827	C0030193	Pain	Sign or Symptom
Neuropathic Peripheral Pain	589	C0442874	Neuropathy	Disease or Syndrome
Neuropathic Post-zosterian Pain	861	C0030193	Pain	Sign or Symptom
Neuropathic Post-zosterian Pain	928	C0442874	Neuropathy	Disease or Syndrome
Neuropathy	1000	C0442874	Neuropathy	Disease or Syndrome
Neuropathy, Diabetic	1000	C0442874	Neuropathy	Disease or Syndrome
Neuropathy, Paraneoplastic	1000	C0442874	Neuropathy	Disease or Syndrome
Neuropsychiatric Systemic Lupus Erythematosus	1000	C0752335	Neuropsychiatric Systemic Lupus Erythematosus	Disease or Syndrome
Neuropsychiatric Systemic Lupus Erythematosus	923	C0024141	Lupus Erythematosus, Systemic	Disease or Syndrome
Neuropsychiatric Systemic Lupus Erythematosus	812	C0024138	lupus (Lupus Erythematosus, Discoid)	Disease or Syndrome
Neuropsychiatric Systemic Lupus Erythematosus	861	C0409974	Lupus Erythematosus	Disease or Syndrome
Neuropsychiatric Systemic Lupus Erythematosus	812	C0024131	Lupus (Lupus Vulgaris)	Disease or Syndrome
Neuropsychological Deficits	827	C0162429	Deficit, NOS (Malnutrition)	Disease or Syndrome
Neuroses, Anxiety	880	C0027769	nervy (Nervousness)	Sign or Symptom
Neurosyphilis	1000	C0027927	Neurosyphilis	Disease or Syndrome
Neurotic Disorders	861	C0012634	Disorders (Disease)	Disease or Syndrome
Neurotic Excoriation	1000	C1274184	Neurotic excoriation (Factitious skin disease)	Disease or Syndrome
Neurotoxic Disorders	861	C0012634	Disorders (Disease)	Disease or Syndrome
Neurotoxicity Syndromes	861	C0039082	Syndromes (Syndrome)	Disease or Syndrome
Neurotropic Melanoma of the Head and Neck	1000	C1709220	Neurotropic Melanoma (Desmoplastic Neurotropic Melanoma)	Neoplastic Process
Neurotropic Melanoma of the Head and Neck	861	C0025202	melanoma	Neoplastic Process
Neurpathic Pain	861	C0030193	Pain	Sign or Symptom
Neutropenia	1000	C0027947	Neutropenia	Disease or Syndrome
Neutropenia in Breast Cancer	812	C0006826	Cancer (Malignant Neoplasms)	Neoplastic Process
Neutropenia in Breast Cancer	861	C0006142	Breast Cancer (Malignant neoplasm of breast)	Neoplastic Process
Neutropenia in Breast Cancer	645	C0027947	Neutropenia	Disease or Syndrome
Neutropenia in Breast Cancer	811	C0153661	thoracic cancer (Malignant neoplasm of thorax)	Neoplastic Process
Neutropenia in Breast Cancer	861	C0678222	Breast Cancer (Breast Carcinoma)	Neoplastic Process
Neutropenia in Prematures	1000	C0027947	Neutropenia	Disease or Syndrome
Neutropenic Fever	1000	C0746883	neutropenic fever (Febrile neutropenia)	Disease or Syndrome
Neutrophil Disorder	861	C0012634	Disorder (Disease)	Disease or Syndrome
Neutrophil Disorder	1000	C0272157	neutrophil disorder (Disorder of neutrophils)	Disease or Syndrome
Neutrophilic Asthma	861	C0004096	Asthma	Disease or Syndrome
Nevi	966	C1456781	naevus (Benign melanocytic nevus)	Neoplastic Process
Nevi	1000	C0027962	Nevi (Melanocytic nevus)	Neoplastic Process
Nevi	1000	C0027960	Nevi (Nevus)	Neoplastic Process
Nevirapine Induced Hepatitis	827	C0019159	hepatitis (Hepatitis A)	Disease or Syndrome
Nevirapine Induced Hepatitis	827	C0019158	Hepatitis	Disease or Syndrome
Nevirapine Induced Rash	827	C0015230	Rash (Exanthema)	Disease or Syndrome
Nevoid Basal Cell Carcinoma Syndrome	733	C0027960	Naevus, NOS (Nevus)	Neoplastic Process
Nevoid Basal Cell Carcinoma Syndrome	804	C0039082	Syndrome	Disease or Syndrome
Nevoid Basal Cell Carcinoma Syndrome	817	C1142274	nevus cell (Nevus cell nevus)	Neoplastic Process
Nevoid Basal Cell Carcinoma Syndrome	733	C0027962	Naevus (Melanocytic nevus)	Neoplastic Process
Nevoid Basal Cell Carcinoma Syndrome	704	C0858970	carcinogenicity	Neoplastic Process
Nevoid Basal Cell Carcinoma Syndrome	1000	C0004779	Naevoid basal cell carcinoma syndrome (Basal Cell Nevus Syndrome)	Neoplastic Process
Nevoid Basal Cell Carcinoma Syndrome	884	C0007117	Basal cell carcinoma	Neoplastic Process
Nevoid Basal Cell Carcinoma Syndrome	733	C1456781	naevus (Benign melanocytic nevus)	Neoplastic Process
Nevoid Basal Cell Carcinoma Syndrome	804	C0007097	Carcinoma	Neoplastic Process
Nevus	1000	C0027960	Naevus, NOS (Nevus)	Neoplastic Process
Nevus	1000	C0027962	Naevus (Melanocytic nevus)	Neoplastic Process
Nevus	1000	C1456781	naevus (Benign melanocytic nevus)	Neoplastic Process
Nevus of Ota	1000	C0027960	Naevus, NOS (Nevus)	Neoplastic Process
Nevus of Ota	1000	C0027962	Naevus (Melanocytic nevus)	Neoplastic Process
Nevus of Ota	1000	C1456781	naevus (Benign melanocytic nevus)	Neoplastic Process
Nevus, Pigmented	1000	C0027960	Naevus, NOS (Nevus)	Neoplastic Process
Nevus, Pigmented	1000	C0027962	Naevus (Melanocytic nevus)	Neoplastic Process
Nevus, Pigmented	1000	C1456781	naevus (Benign melanocytic nevus)	Neoplastic Process
New Chest Pain Presentation	652	C0553713	BREAST PAIN (BREAST PAIN FEMALE)	Sign or Symptom
New Chest Pain Presentation	652	C0024902	Breast Pain (Mastodynia)	Sign or Symptom
New Chest Pain Presentation	694	C0008031	Chest Pain	Sign or Symptom
New Chest Pain Presentation	645	C0030193	Pain	Sign or Symptom
New Onset Diabetes Mellitus After Renal Transplantation	812	C0011847	Diabetes	Disease or Syndrome
New Onset Diabetes Mellitus After Renal Transplantation	861	C0011849	Diabetes Mellitus	Disease or Syndrome
New Onset Glaucoma	827	C0017601	Glaucoma	Disease or Syndrome
New Onset Neovascular Glaucoma	861	C0017609	Glaucoma, Neovascular	Disease or Syndrome
New Onset Neovascular Glaucoma	812	C0017601	Glaucoma	Disease or Syndrome
New Onset of Heart Failure	1000	C0018801	Heart failure	Disease or Syndrome
New Onset of Heart Failure	1000	C0018802	Heart Failure (Congestive heart failure)	Disease or Syndrome
New Onset Postoperative Atrial Fibrillation	804	C0232197	Fibrillation	Disease or Syndrome
New Onset Postoperative Atrial Fibrillation	924	C0741281	new onset atrial fibrillation (atrial fibrillation new onset)	Disease or Syndrome
New Onset Type 1 Diabetes	884	C0011854	Type 1 diabetes (Diabetes Mellitus, Insulin-Dependent)	Disease or Syndrome
New Onset Type 1 Diabetes	804	C0011849	Diabetes (Diabetes Mellitus)	Disease or Syndrome
New Onset Type 1 Diabetes	804	C0011847	Diabetes	Disease or Syndrome
New Onset Type 1 Diabetes Mellitus	901	C0011854	Diabetes Mellitus, Type 1 (Diabetes Mellitus, Insulin-Dependent)	Disease or Syndrome
New Onset Type 1 Diabetes Mellitus	827	C0011849	Diabetes Mellitus	Disease or Syndrome
New Onset Type 1 Diabetes Mellitus	799	C0011847	Diabetes	Disease or Syndrome
Newborn Diseases	861	C0012634	Diseases (Disease)	Disease or Syndrome
Newborn Pain	861	C0030193	Pain	Sign or Symptom
Newcastle Disease Virus (NDV)	901	C0027983	Newcastle Disease	Disease or Syndrome
Newcastle Disease Virus (NDV)	827	C0012634	Disease	Disease or Syndrome
Newly Diagnosed Breast Cancer	812	C0006826	Cancer (Malignant Neoplasms)	Neoplastic Process
Newly Diagnosed Breast Cancer	861	C0006142	Breast Cancer (Malignant neoplasm of breast)	Neoplastic Process
Newly Diagnosed Breast Cancer	811	C0153661	thoracic cancer (Malignant neoplasm of thorax)	Neoplastic Process
Newly Diagnosed Breast Cancer	861	C0678222	Breast Cancer (Breast Carcinoma)	Neoplastic Process
Newly Diagnosed Cancer Patients	645	C0006826	Cancer (Malignant Neoplasms)	Neoplastic Process
Newly Diagnosed Carcinoma of Breast	727	C0858970	carcinogenicity	Neoplastic Process
Newly Diagnosed Carcinoma of Breast	827	C0007097	Carcinoma	Neoplastic Process
Newly Diagnosed Carcinoma of Unknown Primary	727	C0858970	carcinogenicity	Neoplastic Process
Newly Diagnosed Carcinoma of Unknown Primary	827	C0007097	Carcinoma	Neoplastic Process
Newly Diagnosed Childhood Ependymoma	812	C0014474	Ependymoma	Neoplastic Process
Newly Diagnosed Childhood Ependymoma	1000	C0796611	newly diagnosed childhood ependymoma	Neoplastic Process
Newly Diagnosed Childhood Ependymoma	861	C1851584	Childhood ependymoma (Familial ependymoma)	Neoplastic Process
Newly Diagnosed High-Grade Gliomas	827	C0017638	[M]Gliomas (Glioma)	Neoplastic Process
Newly Diagnosed Locally Advanced or Metastatic Non-small Cell Lung Cancer	895	C0027627	metastatic cancer (Neoplasm Metastasis)	Neoplastic Process
